time,precip,evap,T,flow
2018/6/21 14:00,3,0.01,25,3.4
2018/6/21 15:00,0.875,0.01,25,4.1
2018/6/21 16:00,0,0.01,25,3.9
2018/6/21 17:00,0.5,0.01,25,4.1
2018/6/21 18:00,1.75,0.01,25,4.6
2018/6/21 19:00,2,0.01,25,4.1
2018/6/21 20:00,10.25,0.01,25,4.1
2018/6/21 21:00,3.5,0.01,25,5.9
2018/6/21 22:00,4.5,0.01,25,13.2
2018/6/21 23:00,1.625,0.01,25,13.2
2018/6/22 0:00,1.125,0.01,25,12.9
2018/6/22 1:00,3.375,0.01,25,11.1
2018/6/22 2:00,1,0.01,25,9.6
2018/6/22 3:00,0.25,0.01,25,10
2018/6/22 4:00,0.25,0.01,25,10.7
2018/6/22 5:00,0,0.01,25,12.2
2018/6/22 6:00,0.5,0.01,25,11.4
2018/6/22 7:00,0.25,0.01,25,10.3
2018/6/22 8:00,0,0.01,25,10
2018/6/22 9:00,0,0.01,25,9
2018/6/22 10:00,0,0.01,25,8.3
2018/6/22 11:00,0,0.01,25,7.7
2018/6/22 12:00,0,0.01,25,7.4
2018/6/22 13:00,0.25,0.01,25,7.1
2018/6/22 14:00,0.25,0.01,25,6.8
2018/6/22 15:00,2.75,0.01,25,6.5
2018/6/22 16:00,1.875,0.01,25,6.8
2018/6/22 17:00,0,0.01,25,7.7
2018/6/22 18:00,0,0.01,25,8
2018/6/22 19:00,0.375,0.01,25,8
2018/6/22 20:00,0,0.01,25,8.6
2018/6/22 21:00,0.125,0.01,25,7.7
2018/6/22 22:00,5.875,0.01,25,8
2018/6/22 23:00,4,0.01,25,9.6
2018/6/23 0:00,3,0.01,25,11.8
2018/6/23 1:00,0.625,0.01,25,12.9
2018/6/23 2:00,0.25,0.01,25,13.2
2018/6/23 3:00,0,0.01,25,12.5
2018/6/23 4:00,0,0.01,25,11.8
2018/6/23 5:00,0.125,0.01,25,11.1
2018/6/23 6:00,0,0.01,25,10.3
2018/6/23 7:00,0,0.01,25,10
2018/6/23 8:00,0,0.01,25,9.3
2018/6/23 9:00,0,0.01,25,9
2018/6/23 10:00,0,0.01,25,8.6
2018/6/23 11:00,0.125,0.01,25,8
2018/6/23 12:00,1.125,0.01,25,7.7
2018/6/23 13:00,0.25,0.01,25,7.4
2018/6/23 14:00,0,0.01,25,7.4
2018/6/23 15:00,0,0.01,25,6.8
2018/6/23 16:00,0,0.01,25,6.5
2018/6/23 17:00,0,0.01,25,6.2
2018/6/23 18:00,0,0.01,25,5.9
2018/6/23 19:00,0,0.01,25,5.9
2018/6/23 20:00,0,0.01,25,5.7
2018/6/23 21:00,0,0.01,25,5.4
2018/6/23 22:00,0,0.01,25,5.4
2018/6/23 23:00,0,0.01,25,5.1
2018/6/24 0:00,0,0.01,25,5.1
2018/6/24 1:00,0,0.01,25,4.9
2018/6/24 2:00,0,0.01,25,4.9
2018/6/24 3:00,0,0.01,25,4.6
2018/6/24 4:00,0,0.01,25,4.6
2018/6/24 5:00,0,0.01,25,4.4
2018/6/24 6:00,0,0.01,25,4.4
2018/6/24 7:00,0,0.01,25,4.4
2018/6/24 8:00,0,0.01,25,4.1
2018/6/24 9:00,0,0.01,25,4.1
2018/6/24 10:00,0,0.01,25,4.1
2018/6/24 11:00,0,0.01,25,4.1
2018/6/24 12:00,0,0.01,25,3.9
2018/6/24 13:00,0,0.01,25,3.7
2018/6/24 14:00,0,0.01,25,3.7
2018/6/24 15:00,0,0.01,25,3.7
2018/6/24 16:00,0,0.01,25,3.7
2018/6/24 17:00,0,0.01,25,3.4
2018/6/24 18:00,0,0.01,25,3.4
2018/6/24 19:00,0,0.01,25,3.4
2018/6/24 20:00,0,0.01,25,3.4
2018/6/24 21:00,0,0.01,25,3.4
2018/6/24 22:00,0.125,0.01,25,3.4
2018/6/24 23:00,0,0.01,25,3.4
2018/6/25 0:00,0.125,0.01,25,3.2
2018/6/25 1:00,0,0.01,25,3.2
2018/6/25 2:00,0,0.01,25,3.2
2018/6/25 3:00,0,0.01,25,3.2
2018/6/25 4:00,0,0.01,25,3.2
2018/6/25 5:00,0,0.01,25,3.2
2018/6/25 6:00,0,0.01,25,3.2
2018/6/25 7:00,0,0.01,25,3.2
2018/6/25 8:00,0,0.01,25,3.2
2018/6/25 9:00,0,0.01,25,3
2018/6/25 10:00,0,0.01,25,3
2018/6/25 11:00,0,0.01,25,3
2018/6/25 12:00,0,0.01,25,2.8
2018/6/25 13:00,0,0.01,25,2.8
2018/6/25 14:00,0,0.01,25,2.8
2018/6/25 15:00,0,0.01,25,2.8
2018/6/25 16:00,0,0.01,25,2.4
2018/6/25 17:00,0,0.01,25,2.8
2018/6/25 18:00,0,0.01,25,2.4
2018/6/25 19:00,0,0.01,25,2.4
2018/6/25 20:00,0,0.01,25,2.4
2018/6/25 21:00,0,0.01,25,2.6
2018/6/25 22:00,0,0.01,25,2.6
2018/6/25 23:00,0,0.01,25,2.6
2018/6/26 0:00,0,0.01,25,2.6
2018/6/26 1:00,0,0.01,25,2.6
2018/6/26 2:00,0,0.01,25,2.6
2018/6/26 3:00,0,0.01,25,2.4
2018/6/26 4:00,0,0.01,25,2.4
2018/6/26 5:00,0,0.01,25,2.4
2018/6/26 6:00,0,0.01,25,2.4
2018/6/26 7:00,0,0.01,25,2.4
2018/6/26 8:00,0,0.01,25,2.4
2018/6/26 9:00,0,0.01,25,2.4
2018/6/26 10:00,0,0.01,25,2.4
2018/6/26 11:00,0,0.01,25,2.4
2018/6/26 12:00,0,0.01,25,2.4
2018/6/26 13:00,0,0.01,25,2.4
2018/6/26 14:00,0,0.01,25,2.4
2018/6/26 15:00,0,0.01,25,2.4
2018/6/26 16:00,0,0.01,25,2.2
2018/6/26 17:00,0,0.01,25,2.2
2018/6/26 18:00,0,0.01,25,2.2
2018/6/26 19:00,0,0.01,25,2.2
2018/6/26 20:00,0,0.01,25,2.2
2018/6/26 21:00,0,0.01,25,2.2
2018/6/26 22:00,0,0.01,25,2.2
2018/6/26 23:00,0,0.01,25,2.2
2018/6/27 0:00,0,0.01,25,2.2
2018/6/27 1:00,0,0.01,25,2.2
2018/6/27 2:00,0,0.01,25,2.2
2018/6/27 3:00,0,0.01,25,2.2
2018/6/27 4:00,0,0.01,25,2.2
2018/6/27 5:00,0,0.01,25,2.2
2018/6/27 6:00,0,0.01,25,2.2
2018/6/27 7:00,0,0.01,25,2.2
2018/6/27 8:00,0,0.01,25,2.2
2018/6/27 9:00,0,0.01,25,2.2
2018/6/27 10:00,0,0.01,25,2.2
2018/6/27 11:00,0,0.01,25,2.2
2018/6/27 12:00,0,0.01,25,2.2
2018/6/27 13:00,0,0.01,25,2.2
2018/6/27 14:00,0,0.01,25,2.2
2018/6/27 15:00,0,0.01,25,1.8
2018/6/27 16:00,0,0.01,25,1.8
2018/6/27 17:00,0,0.01,25,1.6
2018/6/27 18:00,0,0.01,25,1.6
2018/6/27 19:00,0,0.01,25,1.6
2018/6/27 20:00,0,0.01,25,1.4
